Unnamed: 0,ID,Play,Q,Away,Away O/D,AwayScore,Home,HomeScore,Home O/D,Offense,Defense,Down,Distance,YdLine,Yards,Success?,Line Yards,RB Yards,PointValue,Player Pos,YdLine2,team_game_drive,drive_play,Play Name,Series #,Series Sequence,Field Position,Gain,Hash,Personnel,Tempo,Shift,Formation,Variation,New Field,Formation Family,Backfield,Motion,R*P,Playcall,Protection,Special,RPO,Family,Family 2,Pass Type,Pass Result,BC REC,BC POS,Blitz,Def Formation,Strength,GN Def,Def Motion,Def Play,# of Backs,# Wide,# TE,Gun_map,PlayType,QBRunDir,RBRunDir,PostRead1,MotionPos,Gun,RunDir,Unit,RunDir2,No Huddle?,Complete?,inc_reason,Dist,ExpectedEP,QB Name,Player Name,FormFamily,LeftWR,RightWR,LeftTE,RightTE
15,3.00E+16,63,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,3,7,,0,No,0,0,0,WR,-22,5,3,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,,RB,,,Shotgun,RB,Offense,,,,Not Available,7,0.27,Fredi Knighten,J.D. McKissic,,,,,
20,3.00E+16,71,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,,0,No,0,0,0,WR,-30,6,1,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.41,Fredi Knighten,Chris Murray,,,,,
17,3.00E+16,72,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,2,10,30,15,Yes,7.5,7.5,1.05,QB,-30,6,2,"1509 ARKSTOFFvSAPPST, Play 019",6,2,-20,15,R,ST,,,RAY,,,,,BUZZ,R,19,,,ASTRO,OPTION,OPTION,,,9,Q,,,,,,,1,3,1,,Run,?,?,,RB,Shotgun,?,Offense,,,,Not Available,10,0.16,,Fredi Knighten,2x2,2,1,0,1
18,3.00E+16,73,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,,4,No,0,0,0.3104,WR,-15,6,3,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,LC,LD,Playside DE,,Shotgun,LD,Offense,,,,Not Available,10,0.5175,Fredi Knighten,Tres Houston,,,,,
19,3.00E+16,74,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,2,6,11,-3,No,-3.6,0.6,-0.234,RB,-11,6,4,"1509 ARKSTOFFvSAPPST, Play 021",6,4,-39,-3,R,ST,,,LOBO,,,,,,R,MATCH 27,,,ASTRO,O/S ZONE,O/S ZONE,,,34,B,,,,,,,1,3,1,,Run,LC,LD,Playside DE,,Shotgun,LD,Offense,,,,Not Available,6,0.4075,,Michael Gordon,3x1,2,1,Fullback,0
21,3.00E+16,75,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,3,9,,19,Yes,0,0,1.6036,WR,-14,6,5,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,RB,LD,Backside LB,,Shotgun,LD,Offense,,,,Not Available,9,0.215,Fredi Knighten,Dijon Paschal,,,,,
22,3.00E+16,76,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,95,14,Yes,7.5,6.5,1.3664,RB,5,6,6,"1509 ARKSTOFFvSAPPST, Play 023",6,6,45,14,L,ST,,,LEON,,,,,,R,27,,,ASTRO,O/S ZONE,O/S ZONE,,,30,B,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.5,,Johnston White,2x2,1,2,Fullback,0
23,3.00E+16,77,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,81,7,Yes,5.5,1.5,0.742,RB,19,6,7,"1509 ARKSTOFFvSAPPST, Play 024",6,7,31,7,L,ST,JET,,LEON,,,,,,R,27,,,ASTRO,O/S ZONE,O/S ZONE,,,6,B,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.3825,,Warren Wand,2x2,1,2,Fullback,0
24,3.00E+16,78,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,2,3,,0,No,0,0,0,QB,26,6,8,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,RB,LD,Backside LB,,Shotgun,RB,Offense,,,,Not Available,3,0.333333333,,Fredi Knighten,,,,,
27,3.00E+16,79,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,3,3,74,9,Yes,6.5,2.5,1.0116,RB,26,6,9,"1509 ARKSTOFFvSAPPST, Play 026",6,9,24,9,R,ST,,,GANG LT,SPLIT,,,,ARD,R,SW 14,,,TROUBLE,CTR,CTR,,,6,B,,,,,,,1,3,1,,Run,LC,RB,Backside DE,WR,Shotgun,RB,Offense,,,,Not Available,3,0.298095238,,Warren Wand,Unbalanced,3,0,Fullback,0
26,3.00E+16,80,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,,9,Yes,0,0,1.0764,RB,35,6,10,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.2675,Fredi Knighten,Michael Gordon,,,,,
25,3.00E+16,81,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,2,1,56,-2,No,-2.4,0.4,-0.2448,QB,44,6,11,"1509 ARKSTOFFvSAPPST, Play 028",6,11,6,-2,R,ST,,,RAYON,,,,,,R,FLOAT 22,,,ARC,I/S ZONE SPLIT,I/S ZONE SPLIT,,,9,Q,,,,,,,1,3,1,,Run,RB,LD,Backside LB,,Shotgun,RB,Offense,,,,Not Available,1,0.811666667,,Fredi Knighten,2x2,2,1,0,Fullback
28,3.00E+16,83,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,3,3,,0,No,0,0,0,WR,42,6,12,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,3,0.330595238,Fredi Knighten,Tres Houston,,,,,
30,3.00E+16,95,2,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,4,2,No,2,0,0.1712,RB,-4,7,1,"1509 ARKSTOFFvSAPPST, Play 031",7,1,-46,2,L,ST,,,LION,,,,,BUZZ,R,MATCH 47,,,ASTRO,PIN PULL,PIN PULL,,,34,B,,,,,,,1,3,1,,Run,?,?,,RB,Shotgun,?,Offense,,,,Not Available,10,0.36,,Michael Gordon,3x1,2,1,1,0
29,3.00E+16,96,2,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,2,8,,4,No,4,0,0.352,QB,-2,7,2,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,,RC,,,Shotgun,,Offense,,,,Not Available,8,0.4,,Fredi Knighten,,,,,
31,3.00E+16,97,2,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,3,4,,0,No,0,0,0,RB,2,7,3,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,4,0.4575,Fredi Knighten,Warren Wand,,,,,
34,3.00E+16,103,2,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,13,4,No,4,0,0.3168,RB,-13,8,1,"1509 ARKSTOFFvSAPPST, Play 034",8,1,-37,4,L,ST,,,GANG RT,,,,,,R,SW 15,,,,CTR,CTR,,,6,B,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,10,0.3975,,Warren Wand,Unbalanced,0,3,0,Fullback
32,3.00E+16,105,3,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,25,0,No,0,0,0,WR,-25,9,1,"1509 ARKSTOFFvSAPPST, Play 035",9,1,-25,0,R,ST,,,RAYON,HOME,,,,ALERT,R,26,,,FARGO,O/S ZONE,O/S ZONE,,I,,,,,,,,,1,3,1,Pistol,Run,,LD,Backside DE,RB,Pistol,LD,Offense,,,,Not Available,10,0.4425,Fredi Knighten,Tres Houston,2x2,2,1,0,Fullback
33,3.00E+16,106,3,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,2,10,,13,Yes,0,0,0.9516,WR,-25,9,2,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.275,Fredi Knighten,Tres Houston,,,,,
36,3.00E+16,107,3,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,12,10,Yes,7,3,0.824,RB,-12,9,3,"1509 ARKSTOFFvSAPPST, Play 037",9,3,-38,10,R,ST,JET,,RAYON,,,,,,R,26,,,ARC,O/S ZONE,O/S ZONE,,,34,B,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.395,,Michael Gordon,2x2,2,1,0,Fullback
37,3.00E+16,108,3,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,2,0,No,0,0,0,RB,-2,9,4,"1509 ARKSTOFFvSAPPST, Play 038",9,4,-48,0,R,ST,JET,,RAYON,,,,,,R,FLOAT 22,,,,I/S ZONE SPLIT,I/S ZONE SPLIT,,,6,B,,,,,,,1,3,1,,Run,,LC,,,Shotgun,LC,Offense,,,,Not Available,10,0.305,,Warren Wand,2x2,2,1,0,Fullback
35,3.00E+16,109,3,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,2,10,,26,Yes,7.5,18.5,2.5168,QB,-2,9,5,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,LB,RD,Backside LB,,Shotgun,LB,Offense,,,,Not Available,10,0.215,,Fredi Knighten,,,,,
38,3.00E+16,110,3,Arkansas State,Off,17,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,76,26,Yes,7.5,18.5,3.0646,RB,24,9,6,"1509 ARKSTOFFvSAPPST, Play 040",9,6,26,26,R,ST,JET,,RAYON,,,,,,R,26,,,ARC,O/S ZONE,O/S ZONE,,,30,B,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.305,,Johnston White,2x2,2,1,0,Fullback
40,3.00E+16,119,3,Arkansas State,Off,24,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,,7,Yes,0,0,0.4676,TE,-30,10,1,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,10,0.3825,Fredi Knighten,Warren Leapheart,,,,,
39,3.00E+16,120,3,Arkansas State,Off,24,Appalachian State,21,Def,Arkansas State,Appalachian State,2,3,23,73,Yes,7.5,65.5,7.2194,RB,-23,10,2,"1509 ARKSTOFFvSAPPST, Play 042",10,2,-27,73,R,ST,JET,,RAYON,,,,,,R,FIDDLE 26,,,ARC,O/S ZONE,O/S ZONE,,,34,B,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,3,0.605,,Michael Gordon,2x2,2,1,0,Fullback
44,3.00E+16,127,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,32,1,No,1,0,0.0628,RB,-32,11,1,"1509 ARKSTOFFvSAPPST, Play 043",11,1,-18,1,M,ST,,,LEON,,,,,,R,14,,,,CTR,CTR,,,6,B,,,,,,,1,3,1,,Run,LB,RD,3 technique (DT),,Shotgun,RD,Offense,,,,Not Available,10,0.49,,Warren Wand,2x2,1,2,Fullback,0
41,3.00E+16,128,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,2,9,31,6,No,5,1,0.3936,QB,-31,11,2,"1509 ARKSTOFFvSAPPST, Play 044",11,2,-19,6,M,ST,,,RT,,,,,YODA,R,46,,,ASTRO,PIN PULL,PIN PULL,,,9,Q,,,,,,,1,3,1,,Run,LC,RB,Backside DE,TE,Shotgun,LC,Offense,,,,Not Available,9,0.2875,,Fredi Knighten,2x1,1,1,0,1
43,3.00E+16,129,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,3,3,25,3,Yes,3,0,0.2076,RB,-25,11,3,"1509 ARKSTOFFvSAPPST, Play 045",11,3,-25,3,L,ST,,,LEON,,,,,,R,FLOAT 23,,,ASTRO,I/S ZONE SPLIT,I/S ZONE SPLIT,,,34,B,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,3,0.5175,,Michael Gordon,2x2,1,2,Fullback,0
42,3.00E+16,130,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,22,6,Yes,5,1,0.4368,QB,-22,11,4,"1509 ARKSTOFFvSAPPST, Play 046",11,4,-28,6,L,ST,JET,,LEON,,,,,,R,27,,,ARC,O/S ZONE,O/S ZONE,,,9,Q,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,LB,Offense,,,,Not Available,10,0.47,,Fredi Knighten,2x2,1,2,Fullback,0
45,3.00E+16,131,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,2,4,16,5,Yes,4.5,0.5,0.386,QB,-16,11,5,"1509 ARKSTOFFvSAPPST, Play 047",11,5,-34,5,L,ST,JET,,LEON,,,,,,R,27,,,ARC,O/S ZONE,O/S ZONE,,,9,Q,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,4,0.5175,,Fredi Knighten,2x2,1,2,Fullback,0
46,3.00E+16,132,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,,0,No,0,0,0,WR,-11,11,6,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,10,0.3425,Fredi Knighten,Booker Mays,,,,,
47,3.00E+16,133,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,2,10,11,3,No,3,0,0.2412,RB,-11,11,7,"1509 ARKSTOFFvSAPPST, Play 049",11,7,-39,3,R,ST,,,GANG RT,,,,,BUZZ,R,MATCH 26,,,,O/S ZONE,O/S ZONE,,,30,B,,,,,,,1,3,1,,Run,RB,LD,Backside LB,RB,Shotgun,LD,Offense,,,,Not Available,10,0.2475,,Johnston White,Unbalanced,0,3,0,Fullback
48,3.00E+16,134,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,3,7,,15,Yes,0,0,1.314,WR,-8,11,8,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,RC,LB,,,Shotgun,LB,Offense,,,,Not Available,7,0.4275,Fredi Knighten,J.D. McKissic,,,,,
49,3.00E+16,135,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,93,10,Yes,7,3,0.976,QB,7,11,9,"1509 ARKSTOFFvSAPPST, Play 051",11,9,43,10,R,ST,JET,,RAYON,,,,,,R,26,,,ASTRO,O/S ZONE,O/S ZONE,,,9,Q,,,,,,,1,3,1,,Run,,RC,,,Shotgun,,Offense,,,,Not Available,10,0.39,,Fredi Knighten,2x2,2,1,0,Fullback
50,3.00E+16,136,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,83,12,Yes,7.5,4.5,1.2768,RB,17,11,10,"1509 ARKSTOFFvSAPPST, Play 052",11,10,33,12,R,ST,JET,,RAYON,,,,,,R,22,,,,I/S ZONE SPLIT,I/S ZONE SPLIT,,,34,B,,,,,,,1,3,1,,Run,RB,LD,Backside LB,,Shotgun,LD,Offense,,,,Not Available,10,0.3725,,Michael Gordon,2x2,2,1,0,Fullback
51,3.00E+16,137,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,71,-2,No,-2.4,0.4,-0.2208,RB,29,11,11,"1509 ARKSTOFFvSAPPST, Play 053",11,11,21,-2,R,ST,JET,,RAYON,,,,,,R,15,,,,CTR,CTR,,,34,B,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.4,,Michael Gordon,2x2,2,1,0,Fullback
52,3.00E+16,138,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,2,12,,0,No,0,0,0,,27,11,12,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,12,0.2475,Fredi Knighten,,,,,,
53,3.00E+16,139,3,Arkansas State,Off,31,Appalachian State,21,Def,Arkansas State,Appalachian State,3,12,,8,No,0,0,0.9024,WR,27,11,13,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,12,0.245,Fredi Knighten,Tres Houston,,,,,
55,3.00E+16,148,3,Arkansas State,Off,34,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,41,51,Yes,0,0,3.8556,WR,-41,12,1,"1509 ARKSTOFFvSAPPST, Play 056",12,1,-9,51,L,ST,,,LEON,,,,,,R,23,,,FARGO,I/S ZONE SPLIT,I/S ZONE SPLIT,,C,84,L,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,10,0.4575,Fredi Knighten,Dijon Paschal,2x2,1,2,Fullback,0
54,3.00E+16,149,3,Arkansas State,Off,34,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,90,13,Yes,7.5,5.5,1.3156,RB,10,12,2,"1509 ARKSTOFFvSAPPST, Play 057",12,2,40,13,R,ST,JET,,RAYON,,,,,,R,22,,,ARC,I/S ZONE SPLIT,I/S ZONE SPLIT,,,34,B,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,10,0.395,,Michael Gordon,2x2,2,1,0,Fullback
60,3.00E+16,150,3,Arkansas State,Off,34,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,77,2,No,2,0,0.2144,RB,23,12,3,"1509 ARKSTOFFvSAPPST, Play 058",12,3,27,2,RM,ST,JET,,RAYON,,,,,,R,22,,,ARC,I/S ZONE SPLIT,I/S ZONE SPLIT,,,6,B,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.3,,Warren Wand,2x2,2,1,0,Fullback
56,3.00E+16,151,3,Arkansas State,Off,34,Appalachian State,21,Def,Arkansas State,Appalachian State,2,8,75,6,Yes,5,1,0.6624,QB,25,12,4,"1509 ARKSTOFFvSAPPST, Play 059",12,4,25,6,R,ST,,,RAYON,,,,,BUZZ,R,SCAN 22,,,ARC,I/S ZONE SPLIT,I/S ZONE SPLIT,,,9,Q,,,,,,,1,3,1,,Run,LC,RB,,RB,Shotgun,LC,Offense,,,,Not Available,8,0.2725,,Fredi Knighten,2x2,2,1,0,Fullback
57,3.00E+16,152,4,Arkansas State,Off,34,Appalachian State,21,Def,Arkansas State,Appalachian State,3,2,69,5,Yes,4.5,0.5,0.574,QB,31,12,5,"1509 ARKSTOFFvSAPPST, Play 060",12,5,19,5,LM,ST,,,RAMBO,,,,,BUZZ,R,BRONCO 15,,,,CTR,CTR,,,9,Q,,,,,,,1,3,1,,Run,LC,RB,,RB,Shotgun,LC,Offense,,,,Not Available,2,0.425,,Fredi Knighten,3x1,1,2,0,Fullback
